"Add new Site","Add new Site"
"Are you sure you want to delete a ""%1"" record?","Are you sure you want to delete a ""%1"" record?"
"Back","Back"
"Base URL","Base URL"
"Delete ""%1""","Delete ""%1"""
"Delete Site","Delete Site"
"Disabled","Disabled"
"Edit Site %1","Edit Site %1"
"Edit Site","Edit Site"
"Enabled","Enabled"
"General Information","General Information"
"ID","ID"
"Name","Name"
"New Site","New Site"
"Please correct the data sent.","Please correct the data sent."
"Save and Continue Edit","Save and Continue Edit"
"Save Site","Save Site"
"Site with id ""%1"" does not exist.","Site with id ""%1"" does not exist."
"Site","Site"
"Sites","Sites"
"Something went wrong while saving the Site.","Something went wrong while saving the Site."
"This Site no longer exists.","This Site no longer exists."
"We can't find a Site to delete.","We can't find a Site to delete."
"You deleted the Site.","You deleted the Site."
"You saved the Site.","You saved the Site."
